Algorithm,Runtime,Data size,Log Time
selection, 146033, 56509, 2020-02-18 19:15:48.774653
selection, 35875, 28254, 2020-02-18 19:16:24.652705
selection, 9007, 14127, 2020-02-18 19:16:33.659220
selection, 2282, 7063, 2020-02-18 19:16:35.943351
selection, 585, 3531, 2020-02-18 19:16:36.528384
selection, 149, 1765, 2020-02-18 19:16:36.678393
insertion, 169534, 56509, 2020-02-18 19:39:26.296731
insertion, 41584, 28254, 2020-02-18 19:40:07.883109
insertion, 10197, 14127, 2020-02-18 19:40:18.080692
insertion, 2581, 7063, 2020-02-18 19:40:20.661840
insertion, 643, 3531, 2020-02-18 19:40:21.306877
insertion, 159, 1765, 2020-02-18 19:40:21.465886
heap, 12272, 904153, 2020-02-18 19:40:33.758589
heap, 5828, 452076, 2020-02-18 19:40:39.611924
heap, 2729, 226038, 2020-02-18 19:40:42.354081
heap, 1305, 113019, 2020-02-18 19:40:43.664156
heap, 593, 56509, 2020-02-18 19:40:44.260190
heap, 274, 28254, 2020-02-18 19:40:44.536206
heap, 133, 14127, 2020-02-18 19:40:44.670213
heap, 56, 7063, 2020-02-18 19:40:44.727217
heap, 27, 3531, 2020-02-18 19:40:44.755218
heap, 12, 1765, 2020-02-18 19:40:44.767219
merge, 8560, 904153, 2020-02-18 19:40:53.343709
merge, 4078, 452076, 2020-02-18 19:40:57.450944
merge, 1917, 226038, 2020-02-18 19:40:59.381055
merge, 913, 113019, 2020-02-18 19:41:00.301107
merge, 428, 56509, 2020-02-18 19:41:00.733132
merge, 197, 28254, 2020-02-18 19:41:00.932143
merge, 94, 14127, 2020-02-18 19:41:01.026149
merge, 43, 7063, 2020-02-18 19:41:01.070151
merge, 19, 3531, 2020-02-18 19:41:01.090152
merge, 8, 1765, 2020-02-18 19:41:01.100153
bubble, 79836, 14127, 2020-02-18 20:29:13.322579
bubble, 20163, 7063, 2020-02-18 20:29:33.486732
bubble, 5046, 3531, 2020-02-18 20:29:38.535021
bubble, 1277, 1765, 2020-02-18 20:29:39.813094
quick, 812, 56509, 2020-02-18 20:29:45.612426
quick, 279, 28254, 2020-02-18 20:29:45.893442
quick, 94, 14127, 2020-02-18 20:29:45.989447
quick, 30, 7063, 2020-02-18 20:29:46.020449
quick, 11, 3531, 2020-02-18 20:29:46.032450
quick, 6, 1765, 2020-02-18 20:29:46.038450
selection, 140, 1765, 2020-02-18 20:41:34.629979
selection, 589, 3531, 2020-02-18 20:41:35.219013
selection, 2300, 7063, 2020-02-18 20:41:37.521144
selection, 9265, 14127, 2020-02-18 20:41:46.786674
selection, 36528, 28254, 2020-02-18 20:42:23.315764
selection, 146504, 56509, 2020-02-18 20:44:49.823143
insertion, 153, 1765, 2020-02-18 20:49:49.992312
insertion, 644, 3531, 2020-02-18 20:49:50.637349
insertion, 2595, 7063, 2020-02-18 20:49:53.234498
insertion, 10298, 14127, 2020-02-18 20:50:03.533087
insertion, 41813, 28254, 2020-02-18 20:50:45.348478
insertion, 176208, 56509, 2020-02-18 20:53:41.558557
heap, 13, 1765, 2020-02-18 20:58:41.590718
heap, 28, 3531, 2020-02-18 20:58:41.620720
heap, 56, 7063, 2020-02-18 20:58:41.866734
heap, 123, 14127, 2020-02-18 20:58:41.990741
heap, 268, 28254, 2020-02-18 20:58:42.258756
heap, 573, 56509, 2020-02-18 20:58:42.832789
heap, 1264, 113019, 2020-02-18 20:58:44.099861
heap, 2703, 226038, 2020-02-18 20:58:46.808016
heap, 5777, 452076, 2020-02-18 20:58:52.595347
heap, 12222, 904153, 2020-02-18 20:59:04.837047
merge, 9, 1765, 2020-02-18 20:59:04.880050
merge, 19, 3531, 2020-02-18 20:59:04.899051
merge, 40, 7063, 2020-02-18 20:59:04.940053
merge, 89, 14127, 2020-02-18 20:59:05.031059
merge, 198, 28254, 2020-02-18 20:59:05.230070
merge, 404, 56509, 2020-02-18 20:59:05.635093
merge, 872, 113019, 2020-02-18 20:59:06.509143
merge, 1849, 226038, 2020-02-18 20:59:08.364249
merge, 4010, 452076, 2020-02-18 20:59:12.385479
merge, 8468, 904153, 2020-02-18 20:59:20.873965
bubble, 1251, 1765, 2020-02-18 20:59:22.159038
bubble, 5004, 3531, 2020-02-18 20:59:27.165325
bubble, 19891, 7063, 2020-02-18 20:59:47.056462
bubble, 79727, 14127, 2020-02-18 21:01:06.785022
quick, 6, 1765, 2020-02-18 21:06:06.802182
quick, 13, 3531, 2020-02-18 21:06:06.817183
quick, 32, 7063, 2020-02-18 21:06:06.850185
quick, 98, 14127, 2020-02-18 21:06:06.949191
quick, 272, 28254, 2020-02-18 21:06:07.222206
quick, 832, 56509, 2020-02-18 21:06:08.056254
selection, 143, 1765, 2020-02-18 22:18:05.015170
selection, 586, 3531, 2020-02-18 22:18:05.602204
selection, 2311, 7063, 2020-02-18 22:18:07.913336
selection, 9084, 14127, 2020-02-18 22:18:17.010856
selection, 35944, 28254, 2020-02-18 22:18:52.956912
selection, 146845, 56509, 2020-02-18 22:21:19.804311
insertion, 151, 1765, 2020-02-18 22:26:19.970480
insertion, 647, 3531, 2020-02-18 22:26:20.618517
insertion, 2532, 7063, 2020-02-18 22:26:23.151662
insertion, 10195, 14127, 2020-02-18 22:26:33.347245
insertion, 40800, 28254, 2020-02-18 22:27:14.149579
insertion, 171317, 56509, 2020-02-18 22:30:05.468378
heap, 13, 1765, 2020-02-18 22:35:05.499538
heap, 27, 3531, 2020-02-18 22:35:05.769554
heap, 57, 7063, 2020-02-18 22:35:05.827557
heap, 129, 14127, 2020-02-18 22:35:05.957565
heap, 266, 28254, 2020-02-18 22:35:06.225580
heap, 593, 56509, 2020-02-18 22:35:06.820614
heap, 1312, 113019, 2020-02-18 22:35:08.134689
heap, 2728, 226038, 2020-02-18 22:35:10.867846
heap, 5768, 452076, 2020-02-18 22:35:16.647176
heap, 12173, 904153, 2020-02-18 22:35:28.840874
merge, 10, 1765, 2020-02-18 22:35:28.876876
merge, 20, 3531, 2020-02-18 22:35:28.897877
merge, 44, 7063, 2020-02-18 22:35:28.943879
merge, 91, 14127, 2020-02-18 22:35:29.034885
merge, 205, 28254, 2020-02-18 22:35:29.241896
merge, 423, 56509, 2020-02-18 22:35:29.665921
merge, 918, 113019, 2020-02-18 22:35:30.585973
merge, 1949, 226038, 2020-02-18 22:35:32.541085
merge, 4104, 452076, 2020-02-18 22:35:36.654320
merge, 8715, 904153, 2020-02-18 22:35:45.390820
bubble, 1280, 1765, 2020-02-18 22:35:46.703895
bubble, 5105, 3531, 2020-02-18 22:35:51.809187
bubble, 20086, 7063, 2020-02-18 22:36:11.897336
bubble, 80293, 14127, 2020-02-18 22:37:32.191929
quick, 6, 1765, 2020-02-18 22:42:32.208089
quick, 27, 3531, 2020-02-18 22:42:32.235090
quick, 29, 7063, 2020-02-18 22:42:32.266092
quick, 89, 14127, 2020-02-18 22:42:32.355097
quick, 269, 28254, 2020-02-18 22:42:32.626113
quick, 860, 56509, 2020-02-18 22:42:33.488162
